,id,cid,Background,Mouth,Hat,Eyes,Clothes,Fur,Earring,Clothes Group,Mouth Group,Hat Group,Eyes Group
0,3478,QmYsWYyQL2rTykTb8a9erJ6cSRRLqpC1sk3NE7n6SbgAaJ,Aquamarine,Bored,Girl's Hair Short,Scumbag,Biker Vest,Black,None,Biker Vest,Shaved,Girl's Hair Short,Kaki Eyes
1,4486,QmRs8jziLABbm1G1Gii295Sc8fWKfPwASdEBiDMV3pPCnh,Army Green,Grin,None,Sad,Black Holes T,Cream,Silver Stud,Black Clothes,White Teeth,Unknown Army Green BG,Sad
2,8288,QmZmvr294dpQNU64LJvR6sUu8P2i413BUR22ckZrK47AfB,Blue,Dumbfounded,Baby's Bonnet,Sleepy,Caveman Pelt,Golden Brown,Silver Hoop,Caveman Pelt,Shaved,Baby's Bonnet,Sleepy
3,5496,QmecLeKNn17YNnQEZYKpzsRPrJb4SwXy35ZqqSJtW1TNk3,Purple,Grin,Horns,Hypnotized,None,Dark Brown,None,Unknown Basic Fur,White Teeth,Unknown Purple BG,Hypnotized
4,6619,QmRzwqsNr1bZR4QVckki3udJoPFjrZ9YZn31BRqig68Mdn,Blue,Bored Pipe,Fisherman's Hat,Wide Eyed,Work Vest,Golden Brown,None,Work Vest,Shaved,Fisherman's Hat,Wide Eyed
5,9183,QmRE7oH3ZpVknDo5Vcbgs4xiRcPdoEeAeKvj2b54Wq193h,Purple,Grin,None,Sad,None,Cheetah,None,Unknown Basic Fur,White Teeth,Unknown Purple BG,Sad
6,9319,QmWdHMF7KRAuywaRTNuR3mwLtQkKzXqix24GGdVn1zwe7k,Aquamarine,Bored Unshaven,Bandana Blue,Bloodshot,Sleeveless Logo T,Dark Brown,None,Black Clothes,Unshaved,Bandana Blue,Bloodshot
7,5109,QmTDsgKkdSFRC7dedzjVXpy53erLRMzvK2GinrY3oU2icw,Orange,Bored Cigarette,Fez,Wide Eyed,Biker Vest,Dark Brown,None,Biker Vest,Shaved,Fez,Wide Eyed
8,4883,QmcStNSxgRgnAjco7S6fLkG3axzsgqnHDVToopTuxYGvba,Purple,Bored,Seaman's Hat,Closed,None,Cheetah,None,Unknown Basic Fur,Shaved,Seaman's Hat,Closed
9,239,QmeFdHYfo3UxLLgSUkp2X9A5q6thYGniCdeGzRtoXdFVfe,Blue,Bored,Commie Hat,Closed,Sleeveless T,Blue,Silver Hoop,Black Clothes,Shaved,Kaki Hat,Closed
10,1726,QmYqXQb3xFNWDkNno34GNL435yMbjt4B8b89LvBA75A9VP,Gray,Bored Unshaven,None,Closed,Service,Solid Gold,None,Service,Unshaved,Gray Hat,Closed
11,7623,QmdmmUy25k5fj3JWKMaTpni6ccrmxHmBMQEynZPa3hicpY,Aquamarine,Bored,None,Scumbag,Guayabera,Golden Brown,Silver Hoop,Guayabera,Shaved,Unknown Aquamarine BG,Kaki Eyes
12,927,QmajNtpezf5jzji6AjdYZjYk9VZW53bVXTEn5LjL6Le1td,Yellow,Dumbfounded,None,Bored,Wool Turtleneck,Cream,None,Black Clothes,Shaved,Unknown Yellow BG,Bored
13,2695,QmNy6V24UFYAmpbHF258YR3WHZp8uvzDEkfjeSPWJsv3FM,Purple,Bored Unshaven,Sushi Chef Headband,Angry,None,Cream,Silver Hoop,Unknown Basic Fur,Unshaved,Unknown Purple BG,Angry
14,3486,QmcftKZSa1ZQxWn7e3Uy5jXfvVdkbh7kJxbhzyGhPd4hU8,Yellow,Dumbfounded,Bowler,Coins,Guayabera,Tan,None,Guayabera,Shaved,Black Hat,Coins
15,2258,QmTQSfPesR61ouiamdcw2GH8RFdZjhjKWkS64Tui9wH7yB,Blue,Bored Unshaven Cigarette,Horns,Closed,None,Dark Brown,Gold Stud,Unknown Basic Fur,Unshaved,Unknown Blue BG,Closed
16,9165,QmVmhhvxZHRhX7aansWWarH25Q17YsNLovEmktCLSS2zdK,Army Green,Bored Unshaven,S&m Hat,Laser Eyes,Black T,Black,Silver Hoop,Black Clothes,Unshaved,Black Hat,Laser Eyes
17,4023,QmZyxdGVeMWTZu1rXT4aa29RRoEjV5LB1pS2w8YnKULJos,Orange,Rage,Bowler,Sad,Leather Jacket,White,None,Black Clothes,Visible Tongue,Black Hat,Sad
18,3452,QmNXqYMebVx5Z7aMwsczipLzNb7ubDHL3hNyAkTpXMnxp2,Yellow,Bored Unshaven Cigarette,Police Motorcycle Helmet,Closed,Sleeveless T,Zombie,None,Black Clothes,Unshaved,Police Motorcycle Helmet,Closed
19,8635,QmVGj9opEJtT8rJ1niJyHyEiAnz5xNCHetibtXxAnEKoW4,Purple,Bored Unshaven Cigarette,Short Mohawk,Blindfold,Tuxedo Tee,Black,Gold Stud,B&W Clothes,Unshaved,Unknown Purple BG,Blindfold
20,5514,QmUaVzFG4S5y7zwDkMxKKJGUuSpjg5qRB4XXuPR4FYYGuA,Aquamarine,Bored,None,Sleepy,Navy Striped Tee,Gray,None,Navy Striped Tee,Shaved,Unknown Aquamarine BG,Sleepy
21,4393,QmXnwK4myswzWAmEyCyUEvSrPZgX9eEBqvkLMmndeQV9gP,Aquamarine,Tongue Out,Prussian Helmet,Coins,Sleeveless Logo T,Cheetah,None,Black Clothes,Shaved,Prussian Helmet,Coins
22,5848,Qmd4zGrk1Pws93F31iJjueubsBgybBjjjxgUznCHYbfydb,Aquamarine,Phoneme Wah,None,Bored,Hawaiian,White,None,Hawaiian,Visible Tongue,Unknown Aquamarine BG,Bored
23,9544,QmbSpFmLsEosPmkMHM8t6WxdSsLS2SaJfAS96tvTqA1RHo,Orange,Bored Party Horn,Bowler,3d,Lab Coat,Brown,None,Lab Coat,Shaved,Black Hat,3d
24,4929,QmUGMwwjDmdqTKJ2SkxTcd2Gh8Vrvx6kbWTsmjUAADPExA,Army Green,Bored Unshaven,Short Mohawk,Bloodshot,None,Blue,None,Unknown Basic Fur,Unshaved,Unknown Army Green BG,Bloodshot
25,1903,QmZpkqSAyHcvXVQVq1detnEgdkFtzafm8dDG1DuapLsGft,Blue,Discomfort,Cowboy Hat,Hypnotized,Black T,Robot,None,Black Clothes,White Teeth,Cowboy Hat,Hypnotized
26,7923,QmcW5853WbpMjekuWNm3yyLoCAqKxZ53jAixsx61naGw4h,Purple,Bored,Bayc Hat Black,Robot,None,Cream,None,Unknown Basic Fur,Shaved,Bayc Hat Black,Robot
27,4222,QmV8Qfx8QuB7AY9SetbSQ9fWoF3EV9ZB2wrPryeyJjZZhY,Purple,Bored,Girl's Hair Short,Bored,None,Pink,None,Unknown Basic Fur,Shaved,Girl's Hair Short,Bored
28,7745,QmZUWoMTxfLsuHkHvtT3CSGR6MzvdFtMSAfQwix8hU5Db5,New Punk Blue,Bored Cigarette,Baby's Bonnet,Wide Eyed,Biker Vest,Black,Silver Hoop,Biker Vest,Shaved,Baby's Bonnet,Wide Eyed
29,3704,QmefinWdRku1vToarQfhLvx6MYi3QPRny9M16XWhhmbmva,Aquamarine,Bored Unshaven,Bunny Ears,Hypnotized,None,White,None,Unknown Basic Fur,Unshaved,Gray Hat,Hypnotized
30,9414,QmV78sVqnt4Wf6dkX2nhwoX4rsDsp6jeM8AW1hUD3QSrWH,Gray,Bored Unshaven,Commie Hat,Sad,Leather Jacket,Brown,None,Black Clothes,Unshaved,Kaki Hat,Sad
31,7498,QmcVNQ2ChWMVMDCQmqGXD35wxqkWKhRkhEfFKa7XdC7KYp,Gray,Bored Unshaven Cigarette,Cowboy Hat,Bloodshot,Biker Vest,Brown,None,Biker Vest,Unshaved,Cowboy Hat,Bloodshot
32,6461,Qmf2w6t6SmEYi95dy4vWP9p9KA2FusTPo7nNUhmzKYPxkv,New Punk Blue,Grin,Spinner Hat,Wide Eyed,Tanktop,Golden Brown,None,Tanktop,White Teeth,Spinner Hat,Wide Eyed
33,9090,QmRgjoVHfjQgPaNSezJtSZhy7g2Uac1c3B2crsrsxF5aZi,Blue,Jovial,S&m Hat,Bored,Bone Necklace,Blue,None,Unknown Basic Fur,Visible Tongue,Black Hat,Bored
34,2544,QmQx4cCYP7BkLoMJD3qUx1Q6wxHeR6DNEQsPJfUML8hPzK,Yellow,Bored Unshaven Cigar,Horns,Crazy,Hip Hop,Dark Brown,None,Hip Hop,Unshaved,Unknown Yellow BG,Crazy
35,4698,QmQWUdF24wx8LvTDHaV3A3uX3r62vev5VstEaPk2nNubzY,Blue,Grin,Vietnam Era Helmet,Bored,Toga,Brown,None,Toga,White Teeth,Kaki Hat,Bored
36,2406,QmciS7jroooU1xH7yazWfQTLXL8eTEVCqDNHMyJiYrcg19,New Punk Blue,Bored,Cowboy Hat,Zombie,Wool Turtleneck,Cheetah,None,Black Clothes,Shaved,Cowboy Hat,Kaki Eyes
37,3951,QmcH2ESmJLxPtbffCL75GsoLFUaJnyg3KV6JYuvefJrNyH,Army Green,Grin,Party Hat 2,Scumbag,Striped Tee,Cream,None,B&W Clothes,White Teeth,Party Hat 2,Kaki Eyes
38,258,QmTDmwQVCcdEk1Mcna59bxZGHYSWQmBX4F8Zdk62CSw51k,Blue,Bored,Bayc Flipped Brim,Sad,Bone Necklace,Cheetah,None,Unknown Basic Fur,Shaved,Bayc Flipped Brim,Sad
39,8884,QmYCa8HoASGq3gHMibuzDReBzsdNB3w1X5SpHzipXmAoSK,New Punk Blue,Bored Cigarette,Commie Hat,Zombie,Lab Coat,Black,None,Lab Coat,Shaved,Kaki Hat,Kaki Eyes
40,975,QmbvZfp2MsA6xhBY3La473cU7u8tSUa18jXkPVEYmYhuBN,Blue,Bored Unshaven Cigarette,Cowboy Hat,Bored,Hawaiian,Golden Brown,Gold Stud,Hawaiian,Unshaved,Cowboy Hat,Bored
41,113,QmPZ5etEzgSQZ6VvLz1q8noh52T7amZAb5ZCs7t8Qp4MKH,Gray,Bored,Horns,Zombie,Navy Striped Tee,Black,None,Navy Striped Tee,Shaved,Gray Hat,Kaki Eyes
42,9885,QmWbTdyC4bdvY95CrctzXLdfmFKuvYTtkeqno2AP9cS1j9,Blue,Bored Unshaven Cigarette,Army Hat,Eyepatch,Puffy Vest,Golden Brown,Gold Stud,Puffy Vest,Unshaved,Kaki Hat,Eyepatch
43,4856,QmbauHSHxgRagiGhz5s3pEpMSqCZCQCYYJFgZnve7GqRMQ,New Punk Blue,Grin,Beanie,Angry,Tuxedo Tee,Gray,None,B&W Clothes,White Teeth,Beanie,Angry
44,6652,QmanvTyMkhUZ5rjbrgaPoHoVRh1mPUi1gY5YEv2rjkc9gY,New Punk Blue,Phoneme L,None,Zombie,Bayc T Black,Golden Brown,None,Black Clothes,Visible Tongue,Unknown New Punk Blue BG,Kaki Eyes
45,4795,QmQ5YZAL1eHSEd5CL663wutt1LAoMTcbmBNP6oHLmTPHPE,Orange,Bored Kazoo,Cowboy Hat,Crazy,Leather Jacket,Brown,None,Black Clothes,Shaved,Cowboy Hat,Crazy
46,2909,QmQYxUByNCjUjXTDXKpvhtY29kX7nQwpRezRkoi4XB3a6t,Purple,Bored,None,Sleepy,None,Robot,None,Unknown Basic Fur,Shaved,Unknown Purple BG,Sleepy
47,461,QmZCqtpEiXb1D73CUqxDRKuqVUfXxRA2xAyddHfjJWThAu,Yellow,Bored,Bunny Ears,Coins,Wool Turtleneck,Dmt,None,Black Clothes,Shaved,Gray Hat,Coins
48,6561,QmcRBfbQ3kbXEjB58YmwEMMd6CyMWGg9d9BjJreZwRMqTX,Yellow,Bored Kazoo,Fez,Closed,Vietnam Jacket,Brown,Gold Stud,Vietnam Jacket,Shaved,Fez,Closed
49,1643,QmX9mzCLWfAPrnZJk1w427obUvn3eno77HqVd9ZQXkZfoK,Aquamarine,Phoneme Oh,Fez,Bloodshot,Toga,Black,None,Toga,Shaved,Fez,Bloodshot
50,6299,QmdoDKrqek9xDt8vnhr7ggmgtYS6X3Lce3qCiFWknHUh7w,New Punk Blue,Bored Unshaven,Commie Hat,Bored,Caveman Pelt,Death Bot,None,Caveman Pelt,Unshaved,Kaki Hat,Bored
51,4958,QmaPHbqpGuHgMmy8zA4BFpKV1jWNnmHHDwZy29wp2P8NXs,Gray,Phoneme Wah,None,Scumbag,Black T,Pink,Silver Hoop,Black Clothes,Visible Tongue,Gray Hat,Kaki Eyes
52,7278,QmQErUV4AQvesYYsqvXffpQT4Luk7dkqrmZ6Fir2x8wouX,Orange,Bored Pipe,S&m Hat,Crazy,Vietnam Jacket,Cream,None,Vietnam Jacket,Shaved,Black Hat,Crazy
53,2801,QmVDo2gtg77ftkYYgoCa8TF1Xco9BSKsYgzSXK5L19BKKg,Yellow,Bored,Irish Boho,Closed,None,Dark Brown,None,Unknown Basic Fur,Shaved,Irish Boho,Closed
54,2430,QmPPny9D9WfZpvpVE8jZKbbqXssC4xb9TuGnH1QCSzioNT,Purple,Bored Cigar,Cowboy Hat,Bloodshot,Tie Dye,Brown,None,Tie Dye,Shaved,Cowboy Hat,Bloodshot
55,2675,QmQ2fw1dPHihtTnGxw2Uh8y5yLWASVDSRCn8sBPkGwUMsN,Aquamarine,Dumbfounded,Cowboy Hat,Sleepy,Sleeveless T,Pink,Silver Stud,Black Clothes,Shaved,Cowboy Hat,Sleepy
56,9381,QmPi8EivHEBp8ZorqQYodboyQHGy6FxcSeJqpg7me6T4iK,Aquamarine,Bored,None,Coins,None,Brown,None,Unknown Basic Fur,Shaved,Unknown Aquamarine BG,Coins
57,9354,QmSnq37ChUyPsCSdnjjdkFFpEBkof1RGqcrTiJXKsXg2WX,Blue,Bored Pipe,Beanie,Holographic,None,Blue,None,Unknown Basic Fur,Shaved,Beanie,Holographic
58,7120,QmVghBZaXd3qyxTen9HWqJMjXBkAZTvsorGov19SkgVyqr,Gray,Bored Unshaven Cigar,Vietnam Era Helmet,Bored,None,Cream,None,Unknown Basic Fur,Unshaved,Kaki Hat,Bored
